danceability,energy,loudness,major,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cis,D,Dis,E,F,Fis,G,Gis,A,Ais,B,3/4,4/4,5/4,ysrelease,mood
0.673,0.902,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,happy
0.629,0.793,-5.942,1,0.0346,0.00952,1.15e-06,0.218,0.588,95.981,231213,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,happy
0.388,0.338,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,0,0,0,0,0,0,0,0,0,1,0,0,1,0,45,happy
0.547,0.82,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,172867,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,happy
0.396,0.473,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,219027,0,0,0,0,0,0,0,0,0,1,0,0,1,0,55,happy
0.526,0.775,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,167373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,happy
0.584,0.367,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,176293,0,0,0,0,0,1,0,0,0,0,0,0,1,0,55,happy
0.51,0.488,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,179613,0,0,0,0,0,0,1,0,0,0,0,0,1,0,54,happy
0.659,0.513,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609,177533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,happy
0.62,0.573,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,231333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,happy
0.78,0.524,-12.072,1,0.0321,0.668,6.47e-05,0.293,0.953,124.181,163716,0,1,0,0,0,0,0,0,0,0,0,0,1,0,53,happy
0.646,0.813,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,173493,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15,happy
0.56,0.936,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,happy
0.596,0.869,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,238733,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37,happy
0.491,0.583,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,183307,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55,happy
0.751,0.501,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42,happy
0.653,0.677,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,216533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,happy
0.8,0.545,-13.637,1,0.0357,0.711,0.00191,0.104,0.861,124.943,250933,0,1,0,0,0,0,0,0,0,0,0,0,1,0,45,happy
0.512,0.771,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639,160907,0,0,0,1,0,0,0,0,0,0,0,0,1,0,58,happy
0.626,0.816,-10.593,1,0.131,0.237,1.8e-06,0.104,0.798,105.307,164813,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50,happy
0.532,0.795,-3.979,1,0.0358,0.0559,0.0,0.295,0.78,143.837,199267,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,happy
0.511,0.644,-12.191,1,0.0352,0.173,6.17e-05,0.0928,0.828,128.067,207667,0,0,0,1,0,0,0,0,0,0,0,0,1,0,48,happy
0.524,0.955,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,253733,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,happy
0.49,0.715,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,145747,0,0,0,0,0,0,1,0,0,0,0,0,1,0,22,happy
0.774,0.75,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,197987,0,0,0,0,0,0,0,0,0,0,1,0,1,0,19,happy
0.434,0.897,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,happy
0.643,0.849,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,165853,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21,happy
0.467,0.958,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,180880,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27,happy
0.582,0.952,-3.848,1,0.0731,0.00324,0.0,0.223,0.655,103.027,276320,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,happy
0.656,0.884,-4.748,1,0.0372,0.0162,0.0,0.145,0.86,105.009,237987,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,happy
